id,authors_len,label,num_of_pages,avg_word_per_page,total_words,source
2649468,3,research,8,878.125,7025,CORE
9632035,1,thesis,185,219.335135135135,40577,CORE
2103755,10,research,15,385,5775,CORE
140385,1,thesis,293,284.058020477816,83229,CORE
1682891,4,research,22,521.954545454545,11483,CORE
2604948,1,research,13,591.384615384615,7688,CORE
2619795,3,research,4,813,3252,CORE
2565455,1,research,28,432.785714285714,12118,CORE
1932821,1,thesis,203,395.852216748768,80358,CORE
2601622,2,research,18,455.611111111111,8201,CORE
2649545,2,research,3,760.666666666667,2282,CORE
2731868,1,thesis,287,313.926829268293,90097,CORE
2587942,3,research,17,581.352941176471,9883,CORE
17307695,1,thesis,262,340.5,89211,CORE
1154762,1,thesis,259,308.791505791506,79977,CORE
17307675,1,thesis,485,271.098969072165,131483,CORE
139321,1,thesis,331,416.226586102719,137771,CORE
2632312,6,research,4,1041.25,4165,CORE
2731932,1,thesis,169,224.976331360947,38021,CORE
2617078,1,research,9,243.555555555556,2192,CORE
6115209,1,thesis,77,191.25974025974,14727,CORE
2074312,6,research,24,737.833333333333,17708,CORE
278145,1,thesis,198,361.535353535354,71584,CORE
2623765,4,research,11,565.090909090909,6216,CORE
1383677,1,research,236,306.868644067797,72421,CORE
2101362,1,research,12,366.916666666667,4403,CORE
2564128,2,research,30,361.1,10833,CORE
2660072,4,research,7,696.142857142857,4873,CORE
2536475,1,research,13,321.384615384615,4178,CORE
2655112,1,research,12,566.833333333333,6802,CORE
141130,1,thesis,360,340.130555555556,122447,CORE
279782,1,thesis,282,217.120567375887,61228,CORE
29822389,1,thesis,164,326.792682926829,53594,CORE
2731866,1,thesis,405,254.496296296296,103071,CORE
2626548,2,research,10,220.4,2204,CORE
2731728,1,thesis,497,327.66800804829,162851,CORE
2586792,1,research,12,438.666666666667,5264,CORE
2645745,1,research,18,527.833333333333,9501,CORE
2580028,1,research,29,381.034482758621,11050,CORE
6115218,1,thesis,244,242.098360655738,59072,CORE
138135,1,thesis,215,461.325581395349,99185,CORE
19542809,1,thesis,262,230.797709923664,60469,CORE
2653755,1,research,3,386,1158,CORE
2603692,2,research,10,389.5,3895,CORE
334135,2,research,24,263.375,6321,CORE
280198,1,thesis,158,348.696202531646,55094,CORE
30317379,1,thesis,289,358.404844290657,103579,CORE
46170235,1,thesis,510,2067.26078431373,1054303,CORE
137939,1,thesis,238,285.071428571429,67847,CORE
